,lon,lat,covid_cases,label
1,85.3275814,27.7154432,75,Police headquarter
2,85.281195,27.6933467,12,Gangalal Hospital
3,85.2890594,27.6999738,10,Kalimati
4,85.3194375,27.7046582,10,Bagbazaar
5,85.317499,27.7272671,10,Samakhusi
6,85.3058664,27.6844496,9,Sanepa
7,85.2922919,27.7212949,8,Vanasthali
8,85.3039274,27.6953569,8,Tuku
9,85.3297752,27.7196352,8,Tangal
10,85.3302595,27.7359917,7,TU Teaching Hospital
11,85.2955242,27.7309123,7,Balaju
12,85.3433404,27.7427638,7,Bansbari
13,85.312023,27.707561,6,Asan
14,85.3302326,27.6921993,6,Bijulibazaar
15,85.3652959,27.7654382,5,Budhanilkantha
16,85.3433404,27.7252108,5,Dhumbarahi
17,85.3310673,27.7021237,5,Ghattekulo
18,85.3459238,27.6755549,5,Koteshwor
19,85.3058395,27.7353111,5,Machhapokhari
20,85.3223452,27.7029275,5,Putalisadak
21,85.2735406,27.7170009,5,Sitapaila
22,85.3209454,27.6597667,5,Talchhikhel
23,85.327837,27.7159129,5,Naxal
24,85.3205683,27.668302,5,Patan Hospital
25,85.3213283,27.6999461,5,Baggikhana
26,85.3291291,27.7700747,4,Toka
27,85.3297752,27.7254865,4,Baluwatar
28,85.3120666,27.6987726,4,KMC Office
29,85.3149142,27.6862181,4,Kupandole
30,85.2023569,27.686766,4,Thankot
31,85.3533696,27.6958503,NA,Kathmandu Medical College
32,85.3094211,27.7185834,3,Sorhakhutte
33,85.3297752,27.6976913,3,Anamnagar
34,85.3575479,27.7212981,3,Bauddha
35,85.3420486,27.6564024,3,Imadol
36,85.3782068,27.7278388,3,Jorpati
37,85.3601307,27.7360126,3,Baluwakhani
38,85.2948778,27.6862726,3,Balkhu
39,85.3581936,27.7630069,3,Bhangal
40,85.2806539,27.6931052,3,Kalanki
41,85.3485072,27.7166069,3,Chabahil
42,85.3882852,27.7185595,3,Dakshindhoka
43,85.2774207,27.6630019,3,Kirtipur
44,85.3162066,27.6321197,2,Sunakhothi
45,85.4117608,27.690913,2,Duwakot
46,85.2955242,27.6899521,2,Kuleshwor
47,85.3317133,27.7496863,2,Dhapasi
48,85.3226683,27.6659949,2,Lagankhel
49,85.3239605,27.7172453,2,Thaiva
50,85.327837,27.7071355,2,Dillibazaar
51,85.3807886,27.7015916,2,Gothatar
52,85.3329245,27.7169068,2,Gahanapokhari
53,85.2994028,27.7120275,2,Dallu
54,85.3141872,27.7071328,2,Bhotahiti
55,85.3326669,27.675545,2,Chyasal
56,85.3129755,27.7059032,2,Mahabauddha
57,85.3115685,27.7033496,2,New Road
58,85.3601307,27.7360126,2,Kapan
59,85.3252527,27.6485219,2,Khumaltar
60,85.3100674,27.6981246,2,Bhotebahal
61,85.3233487,27.7311856,2,Police Hospital
62,85.2858364,27.7011369,2,Bafal
63,85.3078053,27.7218201,2,Naya Bazaar
64,85.3602497,27.6888506,2,Pepsicola
65,85.3087748,27.7112473,2,Kshetrapati
66,85.3330025,27.7417536,2,Basundhara
67,85.3372651,27.7098514,2,Ratopul
68,85.3592231,27.6980899,1,Airport
69,85.3151049,27.6744228,1,Alka Hospital
70,NA,NA,1,B and B Hospital
71,85.3099058,27.7081768,1,Bangemudha
72,85.3782068,27.6634624,1,Balkot
73,85.3407568,27.6695288,1,Balkumari
74,85.3181452,27.7528856,1,Baniyataar
75,85.3065127,27.7042221,1,Basantapur
76,85.3058664,27.6493323,1,Bhainsepati
77,85.3330053,27.7248637,1,Bishalnagar
78,85.3239605,27.7172453,1,"Bagmati, Budhol"
79,85.3265449,27.5914845,1,Chapagaun
80,85.2968171,27.7177913,1,Chamati
81,85.3730428,27.7803217,1,Chapali
82,85.3252527,27.6807138,1,Chakupat
83,85.3431347,27.734485,1,Chappal Karkhana
84,85.2204851,27.6903167,1,Chandragiri
85,85.3019883,27.677003,1,Dhobigat
86,85.3465697,27.7084959,1,Gaushala
87,85.321376,27.7493381,1,Gongabu
88,85.3330053,27.6663423,1,Gwarko
89,85.325889,27.752876,1,Grandee Hospital
90,85.3534316,27.7112609,1,Guhyeshwori
91,85.3485072,27.7458625,1,Golfutar
92,85.4091804,27.6644886,1,Katunje
93,85.3368812,27.6503757,1,Hattiban
94,85.4262729,27.674198,1,Bhaktapur Industrial Area
95,85.3532928,27.6751172,1,Jadibuti
96,85.3239605,27.7172453,1,Jarankhu
97,85.4364852,27.6661416,1,Jagati
98,85.3375473,27.7118277,1,Kalopul
99,85.3284721,27.7346817,1,Kanti Hospital
100,85.3107136,27.7018038,1,Khichapokhari
101,85.3149142,27.7213288,1,Lainchaur
102,85.359485,27.6738134,1,Lokanthali
103,85.303073,27.6623128,1,Medicity Hospital
104,85.3085324,27.7052961,1,Makkhan
105,85.3459382,27.7359901,1,Mandikhatar
106,85.3110368,27.7489891,1,Manamaiju
107,85.3117558,27.7032497,1,Mahalakshmi
108,85.3743339,27.6852825,1,Sanothimi
109,85.344594,27.7123959,1,Mitrapark
110,85.3081285,27.732436,1,New Buspark
111,85.3702465,27.7836652,1,Narayanthan
112,85.3006956,27.7486392,1,Nepaltaar
113,85.3420486,27.6915196,1,New Baneshwor
114,85.3460046,27.7486124,1,Neuro Hospital
115,85.4091804,27.758122,1,Nayapati
116,85.3079669,27.7015282,1,Ombahal
117,85.3168528,27.6782363,1,Pulchowk
118,85.3414027,27.7024708,1,Old Baneshwor
119,85.2718003,27.696599,1,Sundar Basti
120,85.2955242,27.7192103,1,Swayambhu
121,85.2489603,27.6825156,1,Satungal
122,85.3510904,27.6991378,1,Sinamangal
123,85.3029177,27.6816326,1,Star Hospital
124,85.311683,27.7000078,1,Sundhara
125,85.3456647,27.7285705,1,Sukedhara
126,85.4272402,27.7908946,1,Sundarijal
127,85.3420486,27.6915196,1,Shantinagar
128,85.4813835,27.6785613,1,Sudaal
129,85.3032811,27.7867498,1,Tarkeshwor
130,85.3123293,27.7153902,1,Thamel
131,85.3187914,27.6175711,1,Thecho
132,85.3149142,27.6949964,1,Tripureshwor
133,85.2959033,27.6915087,1,Tinkune
134,85.2909989,27.7036969,1,Tahachal
135,85.3807886,27.6781812,1,Thimi
136,85.3512518,27.7731946,1,Thapagaun
